Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,614385693,7882.256870869837,2886142,37.02773822535286,325602,6522600,83.68165022673405,8855,0.11360515940847662,1668,
United States of America,Americas,94965623,28690.291,346532,104.692,79340,1047392,316.43,3081,0.931,1220
India,South-East Asia,44587307,3230.954,28882,2.093,3947,528629,38.306,180,0.013,18
Brazil,Americas,34654190,16303.296,46243,21.755,7613,685927,322.699,323,0.152,46
France,Europe,34304599,52744.368,290601,446.808,51348,151503,232.94,212,0.326,33
Germany,Europe,33312373,40054.936,388140,466.701,51364,149948,180.298,87,0.105,14
Republic of Korea,Western Pacific,24740635,48256.345,175614,342.533,0,28364,55.324,287,0.56,0
The United Kingdom,Europe,23672855,34871.481,45028,66.329,4869,190317,280.348,181,0.267,0
Italy,Europe,22432803,37612.749,191434,320.975,37521,177054,296.864,279,0.468,30
Japan,Western Pacific,21187043,16751.768,268200,212.055,0,44551,35.225,374,0.296,0
Russian Federation,Europe,20985756,14380.261,290862,199.31,37286,387269,265.372,718,0.492,106
Türkiye,Europe,16873793,20007.09,0,0,0,101139,119.92,0,0,0
Spain,Europe,13412263,28336.198,19067,40.283,0,114084,241.026,239,0.505,0
Viet Nam,Western Pacific,11476908,11790.708,9289,9.543,0,43147,44.327,1,0.001,0
Australia,Western Pacific,10191312,39966.111,0,0,0,14853,58.247,0,0,0
Argentina,Americas,9708420,21480.814,4482,9.917,0,129897,287.41,42,0.093,0
Netherlands,Europe,8422336,48383.139,8807,50.593,0,22643,130.075,10,0.057,0
China,Western Pacific,7572246,514.668,249151,16.934,0,26330,1.79,462,0.031,0
Iran (Islamic Republic of),Eastern Mediterranean,7547968,8986.431,2617,3.116,0,144416,171.938,58,0.069,0
Mexico,Americas,7082034,5492.812,1388,1.077,0,330046,255.983,13,0.01,0
Indonesia,South-East Asia,6431624,2351.396,12230,4.471,1857,158112,57.806,126,0.046,19
Colombia,Americas,6306552,12394.249,990,1.946,0,141769,278.618,23,0.045,0
Poland,Europe,6293558,16580.26,25504,67.19,3886,117569,309.733,138,0.364,30
Portugal,Europe,5480864,53233.415,8645,83.965,0,25008,242.893,22,0.214,0
Ukraine,Europe,5177217,11838.033,44137,100.922,0,109206,249.706,161,0.368,0
Austria,Europe,5118512,57504.496,68105,765.133,12317,20738,232.983,23,0.258,1
Greece,Europe,4920192,45903.458,44775,417.733,0,33111,308.913,97,0.905,0
Malaysia,Western Pacific,4837005,14944.711,10785,33.322,0,36365,112.356,23,0.071,0
Thailand,South-East Asia,4681309,6706.749,4219,6.044,839,32764,46.94,72,0.103,9
Israel,Europe,4661944,53860.804,6196,71.584,1485,11698,135.15,9,0.104,0
Chile,Americas,4620377,24169.954,25858,135.267,4083,61141,319.839,167,0.874,49
Belgium,Europe,4544505,39440.474,15188,131.812,6,32673,283.56,24,0.208,0
Canada,Americas,4233468,11216.816,17326,45.906,0,44992,119.209,195,0.517,0
Peru,Americas,4143085,12565.52,5771,17.503,981,216539,656.739,133,0.403,13
Czechia,Europe,4104162,38378.394,17088,159.791,3670,41090,384.236,70,0.655,2
Switzerland,Europe,4084315,47192.32,8083,93.395,0,13565,156.737,1,0.012,0
South Africa,Africa,4018768,6776.019,1757,2.962,343,102169,172.266,0,0,0
Philippines,Western Pacific,3943153,3598.389,13334,12.168,0,62882,57.384,187,0.171,0
Denmark,Europe,3298293,56644.809,8315,142.802,1348,7065,121.334,44,0.756,8
Romania,Europe,3267370,16904.12,8042,41.606,1174,67016,346.715,54,0.279,13
Sweden,Europe,2588441,25063.362,5072,49.111,1104,20225,195.835,16,0.155,0
Iraq,Eastern Mediterranean,2459505,6114.75,0,0,0,25352,63.029,0,0,0
Serbia,Europe,2359530,34064.248,16060,231.856,2548,17000,245.427,78,1.126,17
Hungary,Europe,2094142,21435.451,11392,116.607,0,47503,486.236,46,0.471,0
Bangladesh,South-East Asia,2025197,1229.707,4429,2.689,708,29363,17.829,16,0.01,1
Singapore,Western Pacific,1900761,32489.742,15902,271.813,0,1617,27.639,8,0.137,0
Slovakia,Europe,1843685,33780.284,2783,50.991,465,20457,374.816,14,0.257,2
Georgia,Europe,1780691,44638.077,0,0,0,16900,423.646,0,0,0
New Zealand,Western Pacific,1762209,36543.423,9809,203.412,0,3037,62.979,54,1.12,0
Jordan,Eastern Mediterranean,1746997,17122.161,1965,19.259,0,14122,138.408,6,0.059,0
Ireland,Europe,1663653,33511.393,1090,21.956,0,7942,159.978,20,0.403,0
Pakistan,Eastern Mediterranean,1572410,711.845,208,0.094,0,30612,13.858,1,0,0
Kazakhstan,Europe,1483609,7901.327,578,3.078,97,19050,101.455,2,0.011,0
Norway,Europe,1462233,27241.941,418,7.787,37,4098,76.347,33,0.615,0
Finland,Europe,1292940,23400.392,1861,33.681,0,5981,108.248,0,0,0
Morocco,Eastern Mediterranean,1264920,3426.987,80,0.217,0,16278,44.101,0,0,0
Bulgaria,Europe,1258670,18106.499,4736,68.129,752,37714,542.532,20,0.288,3
Lithuania,Europe,1250158,44742.94,7301,261.302,984,9320,333.561,5,0.179,0
Croatia,Europe,1231575,30348.076,4378,107.881,909,16902,416.494,41,1.01,10
Lebanon,Eastern Mediterranean,1215511,17808.524,950,13.919,0,10674,156.385,8,0.117,0
Slovenia,Europe,1181073,56352.64,14941,712.881,2613,8258,394.015,7,0.334,0
Tunisia,Eastern Mediterranean,1145686,9693.908,341,2.885,0,29249,247.482,3,0.025,0
Guatemala,Americas,1122517,6265.595,5153,28.763,1286,19779,110.401,42,0.234,4
Costa Rica,Americas,1117989,21946.665,6020,118.176,0,8970,176.085,37,0.726,0
Cuba,Americas,1111179,9810.335,83,0.733,9,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1108129,9493.078,546,4.677,74,22234,190.473,5,0.043,1
United Arab Emirates,Eastern Mediterranean,1026566,10379.416,2109,21.324,0,2345,23.71,3,0.03,0
Ecuador,Americas,1003778,5689.366,1325,7.51,0,35894,203.446,5,0.028,0
Nepal,South-East Asia,999742,3431.199,236,0.81,30,12018,41.247,2,0.007,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Panama,Americas,986866,22871.826,1052,24.381,0,8497,196.928,7,0.162,0
Uruguay,Americas,985422,28367.835,1270,36.56,0,7485,215.474,12,0.345,0
Mongolia,Western Pacific,982864,29980.996,313,9.548,0,2131,65.003,0,0,0
Puerto Rico,Americas,955893,33412.867,7841,274.079,3515,5133,179.422,38,1.328,4
Latvia,Europe,929051,48700.696,8506,445.883,1375,5990,313.995,10,0.524,6
Azerbaijan,Europe,821311,8100.373,1012,9.981,149,9913,97.769,13,0.128,3
Saudi Arabia,Eastern Mediterranean,816262,2344.646,653,1.876,0,9350,26.857,13,0.037,0
Paraguay,Americas,716059,10039.33,50,0.701,0,19583,274.559,19,0.266,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,702768,13775.945,0,0,0,5707,111.871,0,0,0
Bahrain,Eastern Mediterranean,679912,39957.804,2245,131.937,0,1520,89.329,0,0,0
Sri Lanka,South-East Asia,670763,3132.467,78,0.364,0,16761,78.274,8,0.037,0
Kuwait,Eastern Mediterranean,658520,15419.952,0,0,0,2563,60.015,0,0,0
Dominican Republic,Americas,644356,5939.909,0,0,0,4384,40.413,0,0,0
Myanmar,South-East Asia,622802,1144.65,2058,3.782,0,19458,35.762,5,0.009,0
Estonia,Europe,601993,45297.507,584,43.944,0,2681,201.734,14,1.053,0
Republic of Moldova,Europe,589437,14611.859,2414,59.842,0,11844,293.607,23,0.57,0
Cyprus,Europe,587994,66215.168,2681,301.913,2681,1182,133.107,2,0.225,2
Venezuela (Bolivarian Republic of),Americas,544687,1915.488,377,1.326,67,5814,20.446,0,0,0
Egypt,Eastern Mediterranean,515371,503.615,10,0.01,0,24797,24.231,0,0,0
Libya,Eastern Mediterranean,506991,7378.394,42,0.611,0,6437,93.68,0,0,0
Ethiopia,Africa,493510,429.275,20,0.017,0,7572,6.586,0,0,0
Réunion,Africa,476571,53229.6,623,69.585,0,895,99.965,3,0.335,0
Honduras,Americas,456391,4607.866,285,2.877,0,10993,110.989,1,0.01,0
Qatar,Eastern Mediterranean,449602,15605.475,4575,158.796,0,682,23.672,0,0,0
Armenia,Europe,442875,14945.664,1431,48.292,0,8683,293.024,4,0.135,0
Bosnia and Herzegovina,Europe,398668,12151.493,447,13.625,94,16136,491.829,17,0.518,1
